text,user,location,date
RT @AllenLEllison: Do you remember when @marcorubio skipped your grandparents in line to get his COVID-19 vaccine while denying the threat?€?,engsalama,"California, USA",10-Dec-2021
RT @jaredctate: You can?€?t make this story any more criminal. The FDA is now asking for 75 years to fully release all data used to authorize?€?,JelaniMcclain,"Pennsylvania, USA",10-Dec-2021
RT @CallmeAlfredo: Evidence from the GHS suggests that unvaccinated travellers are three times more likely to test positive for COVID-19 th?€?,PhilomenaKwao,"NYC, USA",10-Dec-2021
Duh! CDC Study: MRNA Vaccine Protection Against COVID-19 Is Waning https://t.co/UD7v9KHwOl,AleeHenn,"New York, USA",10-Dec-2021
"RT @pdjmoo: @davidsirota ????THE GREAT VACCINE ROBBERY
#BigPharma Monopolies Make Cost of Global #Vaccination Against #Covid19 Five Hundred Pe?€?",ritzatliberty,"New York, NY, USA",10-Dec-2021
The most outrageous and disproportionate response to Covid among young people. #wakeupAmerica US Regulators Authori?€? https://t.co/rWtjwInPj4,AleeHenn,"New York, USA",10-Dec-2021
RT @ElmoBlatch03: #COVAXIN We currently do not have any traditional vaccines for #COVID19 . Traditional #vaccines offer non specific broad?€?,GuyCreal,"Ohio, USA",10-Dec-2021
"RT @PharmExec: While #pharma has reached new heights in vaccine development, many questions remain around the lasting effects of #COVID and?€?",mschmalfuhs,"New Jersey, USA",10-Dec-2021
RT @RVAwonk: A Mississippi doctor was reportedly fired from his job at a local hospital after taking three COVID-19 patients off the FDA-ap?€?,45xiatai,"Minnesota, USA",10-Dec-2021
"RT @fxp123: Jefferies COVID case outbreak casts pall over Wall St's office return?€?yeppers, and republicans want to know why POTUS wants a v?€?",outerspacemanII,United States of America,10-Dec-2021
"16- and 17-year-olds are now eligible for a Pfizer/BioNTech Covid-19 vaccine booster

https://t.co/HPyBcw5xpt",costanzo740,"California, USA",10-Dec-2021
RT @EmmaSayle: Please help me understand this. I am double vaccinated. Last month I was ill with COVID-19. I passed it onto my family. Ther?€?,MOTU_Kent,"California, USA",10-Dec-2021
"RT @kristina_wong: New from the Marine Corps as of 12/7:

?€?To date, there have been??3,032 requests for religious accommodation concerning t?€?",Campbell2976,Texas USA ???????? ,10-Dec-2021
"RT @AZDHS: Today?€?s #COVID19 dashboard update adds 3,663 cases and 75 deaths. COVID-19 vaccines save lives. In October, unvaccinated people?€?",WithoutaTRACE,"Arizona, USA",10-Dec-2021
RT @RVAwonk: A Mississippi doctor was reportedly fired from his job at a local hospital after taking three COVID-19 patients off the FDA-ap?€?,ManchurianDevil,"Atlanta, Georgia, USA",10-Dec-2021
RT @ClimateDepot: Oh no! Should I be worried? I attended COP 26 for a full week in Scotland &amp; I never got the COVID vaccine (&amp; will not)?€?,terry803,"South Carolina, USA",10-Dec-2021
RT @Reuters: The World Health Organization recommended that people who are immunocompromised or received an inactivated COVID-19 vaccine sh?€?,konanut,"Los Angeles, CA USA",10-Dec-2021
KFF COVID-19 Vaccine Monitor: Winter 2021 Update On Parents?€? Views Of Vaccines For Kids - Findings https://t.co/aoYk5QK8GL,RobinCogan,"New Jersey, USA",10-Dec-2021
RT @Jsorrentino123: Young Athletes Dying After COVID-19 Vaccine https://t.co/JKZbJav2Yz,DavCurryT,USA,10-Dec-2021
RT @Reuters: The World Health Organization recommended that people who are immunocompromised or received an inactivated COVID-19 vaccine sh?€?,XRPdaStandard,"California, USA",10-Dec-2021
RT @GetVaxAnswers: A COVID-19 vaccine can help protect your child and your whole family from getting COVID-19. Talk to your pediatrician or?€?,MattKoenig10,United States,10-Dec-2021
"????????????????????????. Unvaxxed are hilarious and not very Smart

https://t.co/QJEtXcC7WT",gumboqueen3030,"Missouri, USA",10-Dec-2021
RT @Reuters: The World Health Organization recommended that people who are immunocompromised or received an inactivated COVID-19 vaccine sh?€?,BlondieMon1,USA ,10-Dec-2021
RT @AllenLEllison: Do you remember when @marcorubio skipped your grandparents in line to get his COVID-19 vaccine while denying the threat?€?,Vinyl_Tones,United States,10-Dec-2021
Pfizer and BioNTech Receive U.S. FDA Emergency Use Authorization of COVID-19 Vaccine Booster for Individuals 16 Yea?€? https://t.co/OZDhC82ItH,astockwatch1,"Mississippi, USA",10-Dec-2021
RT @GetVaxAnswers: A COVID-19 vaccine can help protect your child and your whole family from getting COVID-19. Talk to your pediatrician or?€?,AprilGreen93,"New York, USA",10-Dec-2021
"@CawthornforNC Who is excited the Republicans are posting anti- COVID-19 vaccine lies daily on social media?

I am?€? https://t.co/NdfR4wr40W",The_JL_Podcast,"Florida, USA",10-Dec-2021
"@CawthornforNC Who is excited the Republicans are posting anti- COVID-19 vaccine lies daily on social media?

I am?€? https://t.co/6SE6Mmuo96",The_JL_Podcast,"Florida, USA",10-Dec-2021
"Shelby lauds Senate vote to block OSHA COVID-19 vaccine mandate, says edict 'violates???€? https://t.co/s5sJUaZPw1",QuorumCall,USA,10-Dec-2021
"Covid-19 live updates: Warning of vaccine inequality, WHO again avoids endorsing boosters for general??public https://t.co/JHiu3D7CBz",TodayHeadline42,United States,10-Dec-2021
".
1 in 10 Americans say the COVID-19 vaccine conflicts with their religious beliefs https://t.co/XYTZNIiok3 

MEGA-?€? https://t.co/pwAyEjapy0",HelmutSchimpfke,"New York City, USA",10-Dec-2021
"RT @calvinrobinson: This is all coming out because Moderna wants to cut the US (NIAID/NIH) out of patent rights

They're exposing themselve?€?",JaneofAllVA,"Virginia, USA",10-Dec-2021
RT @abirballan: FDA needs 20y on top of the 55y to release the data that it reviewed in 180 days before granting EUA to the #Covid19 inject?€?,homelessadvisor,LA & Everywhere USA,10-Dec-2021
"RT @Hayomide_1: In a meeting and someone said the reason he's yet to take the vaccine is because. ""The COVID-19 Vaccine enters your cells a?€?",VibezBarna,"Nevada, USA",10-Dec-2021
@RepCawthorn Why did trump go on national television and claim the COVID-19 virus was a democratic hoax when he kne?€? https://t.co/cOZW2ZKdLw,The_JL_Podcast,"Florida, USA",10-Dec-2021
"RT @GregAbbott_TX: Since day one, Texas has taken a stand against the federal government's unconstitutional COVID-19 vaccine mandates.

We?€?",Charlie56768595,"Texas, USA",10-Dec-2021
RT @HHSGov: Amanda thought she?€?d never see her family again after she spent 11 days intubated in a hospital with COVID-19. Her biggest regr?€?,awkwardupcycle,"District of Columbia, USA",10-Dec-2021
RT @RVAwonk: A Mississippi doctor was reportedly fired from his job at a local hospital after taking three COVID-19 patients off the FDA-ap?€?,wyn_o,"Nevada, USA  she/her",10-Dec-2021
RT @zerohedge: FDA Says It Now Needs 75 Years To Fully Release Pfizer COVID-19 Vaccine Data https://t.co/Ly0PzrthR6,TraderJ94859126,United States,10-Dec-2021
RT @AllenLEllison: Do you remember when @marcorubio skipped your grandparents in line to get his COVID-19 vaccine while denying the threat?€?,paulapoundstone,United States,10-Dec-2021
RT @RVAwonk: A Mississippi doctor was reportedly fired from his job at a local hospital after taking three COVID-19 patients off the FDA-ap?€?,JohnLDavey,"South Carolina, USA",10-Dec-2021
RT @drdenwalker: Outrageous Lack of Transparency?€?Pfizer Now Asks Court for 75 Years to Hide Details of COVID-19 Vaccine Trial Results https?€?,ddedeaux51,United States,10-Dec-2021
RT @LeppanPierre: German Chief Pathologist Peter Schirmacher has recently announced that 30 to 40 percent of people he examined not long ag?€?,shicks_sam,"South Carolina, USA",10-Dec-2021
RT @thesiriusreport: Antibodies from the Pfizer vaccine may be up to 40 times less effective against Omicron than the original COVID strain?€?,LibertyTre3,"Florida, USA",10-Dec-2021
"#COVID-19 LOCAL UPDATES: Missouri reports 2,475 new cases https://t.co/xovPN87XG2",dirmfe,"Missouri, USA",10-Dec-2021
"RT @TrumpsPrettyWom: ???????????? 
U.S. Judge Blocks Last Remaining Biden Admin COVID-19 Vaccine Rule 

America Has Been Successful Because
Of We Th?€?",SandraSBreen,|???? ????????(EST) E Coast USA ????|,10-Dec-2021
"RT @VippusaO: A nurse who lost both her parents to Covid-19 says she does not regret their decision not to get the vaccine, but that she re?€?",RF71901898,????California ????USA ,10-Dec-2021
"@1D10Two @brandon072282 I must point out that the flu and COVID-19 are not in the same class of viruses, so to spea?€? https://t.co/9ZPVtROYxB",PoliticalAnt,"Missouri, USA",10-Dec-2021
"RT @cynthiamckinney: They want SEVEN doses! PLUS, they're spreading a false narrative that UNvaccinated are the problem when it's now clear?€?",annika1021,United States,10-Dec-2021
"RT @vinzcentV: Covid-19 is still out there, the Vaccine to prevent it is free...if you value your health please get vaccinated today and st?€?",horrki,"New York, USA",10-Dec-2021
"RT @theseoulstory: Choi Siwon tests positive for COVID-19 and is currently self-isolating

As a result, he has to immediately halt all sche?€?",Kili_Athene,United States,10-Dec-2021
"RT @zerohedge: EU Members Plan To Bring Back Vaccine Passport, Require Booster Shots https://t.co/iqtHC4iwId",ABorealis77,"Missouri, USA",10-Dec-2021
"A nurse who lost both her parents to Covid-19 says she does not regret their decision not to get the vaccine, but t?€? https://t.co/JwEpf9oppq",VippusaO,USA,10-Dec-2021
"RT @zerohedge: EU Members Plan To Bring Back Vaccine Passport, Require Booster Shots https://t.co/iqtHC4iwId",TJLaw12,"Georgia, USA",10-Dec-2021
"???? THE GREAT VACCINE ROBBERY
#BigPharma Monopolies Make Cost of Global #Vaccination Against Covid19 - 500% (5x) Cost?€? https://t.co/rM1qEuXGVy",pdjmoo,USA and Global,10-Dec-2021
"RT @calvinrobinson: This is all coming out because Moderna wants to cut the US (NIAID/NIH) out of patent rights

They're exposing themselve?€?",AimeeL28,"Mississippi, USA",10-Dec-2021
"Vaccine makers are racing to update their COVID-19 shots, just in case https://t.co/QuQERiiWRd",koat7news,"Albuquerque, NM, USA",10-Dec-2021
Covid-19 Vaccine side effects ?€? Patient: Dizziness ?€? VeDA Forum https://t.co/MUBgQRNwjr,SullyAllDayLong,"Western New York, USA",10-Dec-2021
"RT @ChibuzoFelix_1: How many doses of COVID-19 vaccines does one need to be fully protected?

Most brands of COVID-19 vaccine require two d?€?",Longevity_Dan,"Texas, USA",10-Dec-2021
RT @MelindaDeslatte: House Health &amp; Welfare votes 13-2 to REJECT rule adding the COVID-19 vaccine to state's immunization schedule for scho?€?,thinking__21,United States,10-Dec-2021
"RT @RWMaloneMD: The obvious question is ""what is it that Pfizer is trying so hard to hide""?

Outrageous Lack of Transparency?€?Pfizer Now Ask?€?",Rhoda2Rose, USA,10-Dec-2021
"RT @spectrummag: This week, AdventHealth &amp; other health care systems made headlines for suspending their COVID-19 vaccine mandates. On the?€?",lillithp,"Florida, USA",10-Dec-2021
How will the world decide when the pandemic is over? https://t.co/Wd7eN2ZY30,netamakerIndia,USA,10-Dec-2021
RT @RVAwonk: A Mississippi doctor was reportedly fired from his job at a local hospital after taking three COVID-19 patients off the FDA-ap?€?,1jasliz,United States ????????,10-Dec-2021
"RT @RWMaloneMD: The obvious question is ""what is it that Pfizer is trying so hard to hide""?

Outrageous Lack of Transparency?€?Pfizer Now Ask?€?",ElliotVanOrman,"Detroit, MI USA-TWDFamily????????????",10-Dec-2021
The chasm between supporters and opponents of the Swiss government?€?s COVID-19 measures deepens amid an increasingly?€? https://t.co/kBJDIclU7U,myfairobserver,"Mountain View, CA, USA",10-Dec-2021
RT @AnaCabrera: JUST IN: : FDA authorizes Pfizer/BioNTech Covid-19 vaccine boosters for 16- and 17-year-olds,ssamplern,"California, USA",10-Dec-2021
RT @DaveBondyTV: BREAKING NEWS: Air Force discharges 27 for refusing COVID-19 vaccine; believed to be 1st service members removed over shot?,crunchymomma228,"New Jersey, USA",13-Dec-2021
RT @DaveBondyTV: BREAKING NEWS: Air Force discharges 27 for refusing COVID-19 vaccine; believed to be 1st service members removed over shot?,WeNeedFatima,"Colorado, USA",13-Dec-2021
"RT @ChuckCallesto: BREAKING REPORT: Multiple Hospital Groups Including [HCA Healthcare, Tenet Healthcare Corp, AdventHealh and the Clevelan?",ron55967579,"Oregon, USA",13-Dec-2021
RT @AAPSonline: The Eighth Circuit U.S. Court of Appeals on Monday turned down an attempt by President Joe Biden?s administration to lift a?,justmythawts888,United States,13-Dec-2021
"RT @ChuckCallesto: BREAKING REPORT: Multiple Hospital Groups Including [HCA Healthcare, Tenet Healthcare Corp, AdventHealh and the Clevelan?",johninnwfl,"Tennessee, USA",13-Dec-2021
RT @TPostMillennial: FLASHBACK: Fauci suggests that the COVID-19 vaccine could leave people more likely to be infected. https://t.co/7G83lm?,KarlROffensive,"California, USA",13-Dec-2021
"RT @7NewsDC: NEW ?

The Air Force has discharged 27 people for refusing to get the COVID-19 vaccine, which officials believe are the first?",LindaSN0228WI,"Wisconsin, USA",13-Dec-2021
"The Air Force has discharged 27 people for refusing to get the COVID-19 vaccine, making them what officials believe? https://t.co/vAM6ASe242",Rifleman4WVU,"Greatest Country, USA",13-Dec-2021
"RT @ElectionWiz: BREAKING: Air Force discharges 27 for refusing COVID-19 vaccine

https://t.co/ZETwoPzVFV",croatiantaco,"Hell-inois, USA",13-Dec-2021
RT @WashTimes: JUST IN: Air Force discharges 27 for refusing COVID-19 vaccine https://t.co/f3M7e9gHDF,LoriElleRichard,"Texas, USA",13-Dec-2021
RT @EmmaKinery: Washington (AP) -- Air Force discharges 27 for refusing COVID-19 vaccine; believed to be 1st service members removed over s?,TruthOverFacts0,USA ,13-Dec-2021
"RT @ChuckCallesto: BREAKING REPORT: Multiple Hospital Groups Including [HCA Healthcare, Tenet Healthcare Corp, AdventHealh and the Clevelan?",littleponies,Delaware County Upstate NY USA,13-Dec-2021
"RT @TPostMillennial: BREAKING: Air Force discharges 27 for refusing COVID-19 vaccine

https://t.co/m9YOQUQwhU",SteveShallenbe1,USA,13-Dec-2021
"RT @TPostMillennial: BREAKING: Air Force discharges 27 for refusing COVID-19 vaccine

https://t.co/m9YOQUQwhU",Ordinarymerica7,United States,13-Dec-2021
RT @TPostMillennial: FLASHBACK: Fauci suggests that the COVID-19 vaccine could leave people more likely to be infected. https://t.co/7G83lm?,RJAlaska,"Alaska, USA",13-Dec-2021
RT @TPostMillennial: FLASHBACK: Fauci suggests that the COVID-19 vaccine could leave people more likely to be infected. https://t.co/7G83lm?,TeaPartyTrumper,United States,13-Dec-2021
"RT @ChuckCallesto: BREAKING REPORT: Multiple Hospital Groups Including [HCA Healthcare, Tenet Healthcare Corp, AdventHealh and the Clevelan?",fingeroni,USA,13-Dec-2021
"RT @ChuckCallesto: BREAKING REPORT: Multiple Hospital Groups Including [HCA Healthcare, Tenet Healthcare Corp, AdventHealh and the Clevelan?",levelcrow1,"California, USA",13-Dec-2021
"RT @ChuckCallesto: BREAKING REPORT: Multiple Hospital Groups Including [HCA Healthcare, Tenet Healthcare Corp, AdventHealh and the Clevelan?",DonnaD1301,"Florida, USA",13-Dec-2021
"RT @ChuckCallesto: BREAKING REPORT: Multiple Hospital Groups Including [HCA Healthcare, Tenet Healthcare Corp, AdventHealh and the Clevelan?",RobertBradleyJ2,"Indiana, USA",13-Dec-2021
"RT @CNNHeroes: ""Covid has taught us much: when one person is healthy, we are all better for it.""

Dr. Ala Stanford has been working to chan?",ValarieBEverett,United States,13-Dec-2021
"RT @ChuckCallesto: BREAKING REPORT: Multiple Hospital Groups Including [HCA Healthcare, Tenet Healthcare Corp, AdventHealh and the Clevelan?",TEW_1787,USA(A Constitutional REPUBLIC),13-Dec-2021
"RT @TownAngele: FDA DOUBLES DOWN: Asks Judge to Grant it Until Year 2096 to Fully Release Pfizer?s COVID-19 Vaccine Data

The vaccine is NO?",GJohnston2014,"Washington, USA",13-Dec-2021
"RT @ChuckCallesto: BREAKING REPORT: Multiple Hospital Groups Including [HCA Healthcare, Tenet Healthcare Corp, AdventHealh and the Clevelan?",ReneeDahl5,"Michigan, USA",13-Dec-2021
RT @KelseyReichmann: BREAKING: SCOTUS denies relief to healthcare workers seeking a religious exemption from COVID-19 vaccine mandate. Just?,Diana_Chumley,"Tennessee, USA",13-Dec-2021
@nathaliejacoby1 I have a neuropathic disorder from a 1998 vaccine injury &amp; have been very conservative about getti? https://t.co/MKNqbVH3XC,MartinTruther,"Eugene, OR USA",13-Dec-2021
RT @KelseyReichmann: BREAKING: SCOTUS denies relief to healthcare workers seeking a religious exemption from COVID-19 vaccine mandate. Just?,CourthouseNews,United States,13-Dec-2021
"RT @ChuckCallesto: BREAKING REPORT: Multiple Hospital Groups Including [HCA Healthcare, Tenet Healthcare Corp, AdventHealh and the Clevelan?",ChristineJenn14,"Florida, USA",13-Dec-2021
"BREAKING REPORT: Multiple Hospital Groups Including [HCA Healthcare, Tenet Healthcare Corp, AdventHealh and the Cle? https://t.co/rhlq5mSeqp",ChuckCallesto,"Florida, USA",13-Dec-2021
RT @spidadoc1: ?Participants who received a booster at least 5 months after a second dose of BNT162b2 had 90% lower mortality due to Covid-?,sarahpresch,"Minnesota, USA",13-Dec-2021
RT @RMConservative: List of 300 young athletes who recently suddenly dropped dead https://t.co/cVglzpPFsh,XRP_The_Change,"Texas, USA",13-Dec-2021
"RT @GovMurphy: 16-and-17-year-olds are now eligible for COVID-19 booster shots.

We continue to see pickup in the rates of boosters being a?",GoinToCanada,"New Jersey, USA",13-Dec-2021
"RT @Timcast: I'm more than happy to trust the science!

Science is awesome

They haven't released the science though so there's nothing to?",HartBrandonsock,USA Washington,13-Dec-2021
"RT @Tierney_Megan: False notions about vaccine science are making their way into court opinions blocking Biden mandates. In one case, judge?",chugs1222,"Colorado, USA",13-Dec-2021
A booster shot of Pfizer and BioNTech?s Covid-19 vaccine will provide good protection against severe illness from t? https://t.co/xqMaFdN3XB,BorelliBooks,"Connecticut, USA",13-Dec-2021
Twenty Twenty-two is going to be my year for pushing reason and logic over emotion as a basis for decision-making.? https://t.co/rTHy2LSFAu,GinadeMiranda2,"California, USA",13-Dec-2021
"RT @Timcast: I'm more than happy to trust the science!

Science is awesome

They haven't released the science though so there's nothing to?",adrenjunki,"Texas, USA",13-Dec-2021
RT @KDKA: JUST IN: Philadelphia will require proof of COVID-19 vaccination to dine at bars and restaurants. https://t.co/EwhWDqaRUC,MiltonLMatthew2,"Pennsylvania, USA",13-Dec-2021
"RT @AfamDeluxo: The advantages of getting Covid-19 vaccine is that they reduce morbidity, mortality &amp; hospitalisation. It won't completely?",Kwi_nette,"Texas, USA",13-Dec-2021
"RT @Timcast: I'm more than happy to trust the science!

Science is awesome

They haven't released the science though so there's nothing to?",schwinn_cherish,"California, USA",13-Dec-2021
"Join our upcoming events!

Pediatric COVID-19 Vaccine Q&amp;A Session
Thursday, December 16
6:30PM
 Register at? https://t.co/BRw4iFAETC",PowerCoEJ,"Louisiana, USA",13-Dec-2021
"RT @Timcast: I'm more than happy to trust the science!

Science is awesome

They haven't released the science though so there's nothing to?",Eyevan808,"Hawaii, USA",13-Dec-2021
"RT @Timcast: I'm more than happy to trust the science!

Science is awesome

They haven't released the science though so there's nothing to?",anjcc6,"California, USA",13-Dec-2021
RT @Sniper983241337: Nothing like killing more businesses! Funny thing even the vaxxed can spread Covid!!  Philadelphia Announces COVID-19?,rocket_xp,United States,13-Dec-2021
RT @RMConservative: List of 300 young athletes who recently suddenly dropped dead https://t.co/cVglzpPFsh,SlovenianModel,United States ,13-Dec-2021
"RT @RealDrGina: Another study finds Natural Immunity is better than vax? yet nothing from Fauci, Biden?s, corp media?  https://t.co/ba7Evsw?",SamuelMcAllis17,United States,13-Dec-2021
"RT @PeterRex: USA Today op-ed by me. Why Rex supports vaccines yet won?t force on our employees.
https://t.co/uUXqkO9ate",mrs_g1984,"Michigan, USA",13-Dec-2021
RT @OSSEDC: Join Howard University College of Medicine for a Pediatric Vaccination Town Hall. DC families can ask questions &amp; hear about th?,IridescentAshes,"Pennsylvania, USA",13-Dec-2021
"RT @RepThomasMassie: Thank you to @RepMcKinley for cosponsoring HR 3860, legislation I introduced to prevent members of the Armed Forces fr?",realgrace31,Free Julian Assange USA,13-Dec-2021
RT @RMConservative: List of 300 young athletes who recently suddenly dropped dead https://t.co/cVglzpPFsh,KT_Bug12121212,United States,13-Dec-2021
Nothing like killing more businesses! Funny thing even the vaxxed can spread Covid!!  Philadelphia Announces COVID-? https://t.co/p1m9n2fGj3,Sniper983241337,"Minnesota, USA",13-Dec-2021
"RT @RepThomasMassie: Thank you to @RepMcKinley for cosponsoring HR 3860, legislation I introduced to prevent members of the Armed Forces fr?",kentenmd,"District of Columbia, USA",13-Dec-2021
"For once @TIME magazine got it right: Vaccine scientists are our true heroes.
#Science #CovidVaccine #COVID19 https://t.co/jJjBAIwcmT",Pradipsedation,"Georgia, USA",13-Dec-2021
"RT @zerohedge: Rand Paul: Vaccine Zealots ""Won't Be Happy Until They Get Your Newborn"" https://t.co/cjw6iGgFxk",Lordshahram007,"North Carolina, USA",13-Dec-2021
"RT @USATODAY: Mid-December 2020, people wept, cheered and prayed as the first doses of COVID-19 vaccine rolled out of a Michigan plant and?",Elizabe05324287,"Florida, USA",13-Dec-2021
@Noahpinion He's right though. The elites are using the COVID-19 vaccine as evidence that you're obedient.,1MayoRice1,"MD, USA",13-Dec-2021
"""The results consistently suggest that fears of a backlash against vaccine mandates may be unfounded and that requi? https://t.co/MS9e2oT0Pa",byrd_nick,"Hoboken, NJ, USA",13-Dec-2021
"RT @GregAbbott_TX: Since day one, Texas has taken a stand against the federal government's unconstitutional COVID-19 vaccine mandates.

We?",SophieCWong,"California, USA",13-Dec-2021
RT @lapublichealth: Pfizer?s COVID-19 vaccine is now approved for teens 16 &amp; 17 who received their 2nd dose at least 6 months ago. Boosters?,IridescentAshes,"Pennsylvania, USA",13-Dec-2021
"RT @Timcast: I'm more than happy to trust the science!

Science is awesome

They haven't released the science though so there's nothing to?",mliz77,"New York, USA",13-Dec-2021
"RT @TIME: Introducing TIME's 2021 Heroes of the Year: Vaccine scientists #TIMEPOY

In giving the world a weapon against COVID-19, these sci?",apacheangel,"TN, USA",13-Dec-2021
"This is absolute garbage. To hell with #Philadelphia and the #Mandate

Philadelphia Announces COVID-19 Vaccine Pass? https://t.co/07u20LaVPQ",appfannevermore,"North Carolina, USA",13-Dec-2021
"RT @Timcast: I'm more than happy to trust the science!

Science is awesome

They haven't released the science though so there's nothing to?",thesinglewing,United States,13-Dec-2021
RT @USATODAY: Millions wept and cheered one year ago when the COVID vaccine debuted. We revisit that joy as U.S. thought it had conquered c?,ClaudiaDAquin,USA,13-Dec-2021
"RT @Timcast: I'm more than happy to trust the science!

Science is awesome

They haven't released the science though so there's nothing to?",MCessac,In the middle of no-where USA,13-Dec-2021
"RT @Tierney_Megan: False notions about vaccine science are making their way into court opinions blocking Biden mandates. In one case, judge?",teawithray,United States,13-Dec-2021
"RT @Tierney_Megan: False notions about vaccine science are making their way into court opinions blocking Biden mandates. In one case, judge?",YNWABell,"Pennsylvania, USA",13-Dec-2021
Some Hospitals Drop Covid-19 Vaccine Mandates to Ease Labor Shortages - The Wall Street Journal https://t.co/JDcl9KPgJg via @HealthcareGlob1,HealthcareGlob1,USA,13-Dec-2021
"@lindaCimimo @Yayapap @Heminator As a nurse, neither will I. 
I will treat anyone, anytime, an anywhere. 
-Drunk pp? https://t.co/yTDyLGRjd3",Jessisbest6,"Louisiana, USA",13-Dec-2021
"A New Zealand man received as many as 10 COVID-19 vaccinations in one day on behalf of other people, according to t? https://t.co/18wdZAq25t",SmithBlindlib5,"Vermont, USA",13-Dec-2021
"RT @Tierney_Megan: False notions about vaccine science are making their way into court opinions blocking Biden mandates. In one case, judge?",2cannan1,"North Carolina, USA",13-Dec-2021
RT @GetVaxAnswers: A COVID-19 vaccine can help protect your child and your whole family from getting COVID-19. Talk to your pediatrician or?,VisualizeBlue22,"California, USA",13-Dec-2021
All safety protocols should be used. If you're not comfortable with the vaccine then wear a face mask and social di? https://t.co/d7pCj1FvvA,ColeyThink4U,United States,13-Dec-2021
RT @UPROXX: Billie Eilish thinks she would have died from COVID-19 if she wasn't vaccinated: 'I want it to be clear that it is because of t?,VexedAgain,United States,13-Dec-2021
"RT @EveryVoiceNC: Dr. Kizzmekia Corbett is a Hillsborough, North Carolina native, and she was instrumental in developing the Moderna COVID-?",amanderhugnkss,"North Carolina, USA",13-Dec-2021
"RT @TheChiefNerd: So BioNTech is making a colorectal cancer vaccine, while the former head of the FDA is joining a company building a test?",amfpollard,"Alabama, USA",13-Dec-2021
"RT @Timcast: I'm more than happy to trust the science!

Science is awesome

They haven't released the science though so there's nothing to?",ncousyn,"Puerto Rico, USA",13-Dec-2021
Fauci: Americans may 'just have to deal with' more COVID-19 vaccine booster shots https://t.co/j5E3G8vSaR,CaliChick777,"California, USA",13-Dec-2021
"RT @HighWireTalk: Some Hospitals Drop Covid-19 Vaccine Mandates to Ease Labor Shortages

?It?s been a mass exodus, and a lot of people in t?",towncrier1969,United States,13-Dec-2021
RT @RMConservative: List of 300 young athletes who recently suddenly dropped dead https://t.co/cVglzpPFsh,peggyiswell61,"Idaho, USA",13-Dec-2021
"RT @HighWireTalk: Some Hospitals Drop Covid-19 Vaccine Mandates to Ease Labor Shortages

?It?s been a mass exodus, and a lot of people in t?",CaliChick777,"California, USA",13-Dec-2021
"RT @Tierney_Megan: False notions about vaccine science are making their way into court opinions blocking Biden mandates. In one case, judge?",EliPlaskett,"Ohio, USA",13-Dec-2021
RT @RMConservative: List of 300 young athletes who recently suddenly dropped dead https://t.co/cVglzpPFsh,dlaw530,"Massachusetts, USA",13-Dec-2021
"RT @CDCgov: CDC has expanded recommendations for #COVID19 vaccine booster shots to now include everyone 16 years and older. At this time, o?",equityhealthdev,Washington DC USA,13-Dec-2021
