text,location,date
"RT @BarackObama: If you got your COVID-19 vaccine before June, now is the time to get a booster shot. All adults are eligible for the boost?€?","Connecticut, USA",02-Dec-2021
"RT @JeffereyJaxen: [1/2] After being sued...the FDA has produced over 91 pages of docs from #Pfizer?€?s COVID-19 vaccine file...It showed: 
-?€?","Iowa, USA",02-Dec-2021
RT @SharylAttkisson: Federal judge: Covid-19 vaccine mandate for health care workers may be unconstitutional https://t.co/Kdj066Wuxe,"Maryland, USA",02-Dec-2021
"RT @BarackObama: If you got your COVID-19 vaccine before June, now is the time to get a booster shot. All adults are eligible for the boost?€?","Ohio, USA",02-Dec-2021
"RT @leedbartz: 208,000 health service workers are choosing natural immunity over the covid vaccine. There's something to clap ???? ???? 

https:/?€?","Washington, USA",02-Dec-2021
"RT @BarackObama: If you got your COVID-19 vaccine before June, now is the time to get a booster shot. All adults are eligible for the boost?€?",USA,02-Dec-2021
"RT @BarackObama: If you got your COVID-19 vaccine before June, now is the time to get a booster shot. All adults are eligible for the boost?€?","California, USA ???????? ",02-Dec-2021
"Sigh.

https://t.co/NjYGMVE0ec","Maryland, USA",02-Dec-2021
"Thoughts and prayers...
Now go get your vaccine please. https://t.co/SDKfKpklTF","Florida, USA",02-Dec-2021
"Standing up for human rights does NOT make you an anti-vaxxer?€?it makes you a good human!

Hold the line!

#Vaccine?€? https://t.co/HITNcKMj8V",USA ,02-Dec-2021
"RT @BarackObama: If you got your COVID-19 vaccine before June, now is the time to get a booster shot. All adults are eligible for the boost?€?","California, USA",02-Dec-2021
RT @moderna_tx: We just announced a new supply agreement with the UK for an additional 60 million doses of our COVID-19 vaccine in 2022 and?€?,"Florida, USA",02-Dec-2021
RT @SharylAttkisson: Federal judge: Covid-19 vaccine mandate for health care workers may be unconstitutional https://t.co/Kdj066Wuxe,Small town USA,02-Dec-2021
"RT @Bolick4Arizona: After receiving a lot of requests, as legislators representing parts of Phoenix, we sent a letter to @dougducey request?€?",USA,02-Dec-2021
RT @SharylAttkisson: Federal judge: Covid-19 vaccine mandate for health care workers may be unconstitutional https://t.co/Kdj066Wuxe,"Florida, USA",02-Dec-2021
"RT @BarackObama: If you got your COVID-19 vaccine before June, now is the time to get a booster shot. All adults are eligible for the boost?€?","Tennessee, USA",02-Dec-2021
"RT @indystar: Healthcare workers rejecting COVID-19 vaccines are fundamentally opposed to the values of their profession, columnist James B?€?","Indiana, USA",02-Dec-2021
RT @CNN: Doctors don't know yet exactly how well the current Covid-19 vaccines protect people against the new Omicron variant that is now i?€?,"Bergen County, NJ USA",02-Dec-2021
"RT @BarackObama: If you got your COVID-19 vaccine before June, now is the time to get a booster shot. All adults are eligible for the boost?€?","Florida, USA",02-Dec-2021
"RT @JeffereyJaxen: [1/2] After being sued...the FDA has produced over 91 pages of docs from #Pfizer?€?s COVID-19 vaccine file...It showed: 
-?€?","Ohio, USA",02-Dec-2021
"RT @BarackObama: If you got your COVID-19 vaccine before June, now is the time to get a booster shot. All adults are eligible for the boost?€?","Arizona, USA",02-Dec-2021
RT @SharylAttkisson: Federal judge: Covid-19 vaccine mandate for health care workers may be unconstitutional https://t.co/Kdj066Wuxe,"Texas, USA",02-Dec-2021
"RT @BarackObama: If you got your COVID-19 vaccine before June, now is the time to get a booster shot. All adults are eligible for the boost?€?","North Carolina, USA",02-Dec-2021
"??? Booster shots are especially important for older adults (50+) &amp; others at high-risk to ""boost"" immunity &amp; maximiz?€? https://t.co/n5KKqSF3K4","Colorado, USA",02-Dec-2021
"RT @BarackObama: If you got your COVID-19 vaccine before June, now is the time to get a booster shot. All adults are eligible for the boost?€?","CT, USA",02-Dec-2021
"RT @ArthurCaplan: Preliminary indications from Israel, which used the Pfizer/BioNTech vaccine almost exclusively, are that people who have?€?","New Jersey, USA",02-Dec-2021
"Founder Of Anti-Vaccine Christian TV Network Dies After COVID-19 Fight
https://t.co/NbhR1tKts5","Michigan, USA",02-Dec-2021
"RT @XHNews: While there is marked difference between U.S. red states and blue states in COVID-19 vaccination rate, the United States as a w?€?","Utah, USA",02-Dec-2021
"RT @andrewcuomo: There is still much we don?€?t know about Omicron, but we know what the best weapons to fight the COVID war are:

Get back t?€?","New York, USA",02-Dec-2021
"RT @BarackObama: If you got your COVID-19 vaccine before June, now is the time to get a booster shot. All adults are eligible for the boost?€?","Tennessee, USA",02-Dec-2021
"RT @John_Scotus: Marcus Lamb, head of televangelist network that spreads COVID misinformation, dies of COVID-19 https://t.co/QDl11LtWwi","Florida, USA",02-Dec-2021
"RT @BarackObama: If you got your COVID-19 vaccine before June, now is the time to get a booster shot. All adults are eligible for the boost?€?",USA,02-Dec-2021
RT @HHSGov: Amanda thought she?€?d never see her family again after she spent 11 days intubated in a hospital with COVID-19. Her biggest regr?€?,"Michigan, USA",02-Dec-2021
COVID-19: Reaction pours in after Quebec scraps vaccine mandate for heal... https://t.co/FxeVjSyst3 via @YouTube,"Covina, California USA",02-Dec-2021
"RT @Frank_Cap1_BOE: Violation of the US Constitution!

?€?An arrest of a Legislator by State Police officers based solely on the grounds that?€?","New Jersey, USA",02-Dec-2021
"$MRNA [15s. delayed]: Issued Press Release on December 01, 21:28:00: Moderna Announces Supply Agreement with the UK?€? https://t.co/fklJ2Dj8Lj","New York, USA",02-Dec-2021
"RT @gsanroman2: Two days before Thanksgiving, attorneys for the OCBOE and Children?€?s Health Defense?€?an anti-vaccine group?€?quietly sued News?€?","California, USA",02-Dec-2021
"@darrenhayes I have a friend from church who wasn?€?t vaccinated from the beginning, and she ended up in the hospital?€? https://t.co/hHes762Mel","Ohio, USA",02-Dec-2021
"RT @BarackObama: If you got your COVID-19 vaccine before June, now is the time to get a booster shot. All adults are eligible for the boost?€?","Colorado, USA",02-Dec-2021
"Why would a Christian be against the vaccine?

https://t.co/cY4ELdhtnN",Born in the USA,02-Dec-2021
"RT @blackiowanews: It?€?s beyond annoying when people say you?€?re living in fear of COVID-19, when all you?€?re doing is taking precautions ?€? ma?€?","Iowa, USA",02-Dec-2021
"RT @BriarPatchBooks: Thanks to the generous donation of a few publishers, kids ages 5-11 who have received their second Covid-19 vaccine sh?€?","Maine, USA",02-Dec-2021
"RT @BarackObama: If you got your COVID-19 vaccine before June, now is the time to get a booster shot. All adults are eligible for the boost?€?",Northeast USA,02-Dec-2021
"RT @Paul_aquablue: Reports suggest 65% of Sweeden is fully vaccinated but 70% of Covid-19 deaths are fully vaccinated 
Excuse me but how do?€?","Michigan, USA",02-Dec-2021
"RT @Jaci84914800: BREAKING! ???????????? Judge blocks Biden's COVID-19 vaccine mandate for healthcare workers across the United States (Reuters)

AN?€?","Kansas, USA",02-Dec-2021
RT @MercyOne_Iowa: The #COVID19 vaccine is the best protection for mom and baby. Listen to Kaitlyn's story as she shares why she got vaccin?€?,"Des Moines, Iowa, USA",02-Dec-2021
"RT @JoyOverbeck1: AG's in TN, OH, Kentucky score big #win, save jobs! But why not #Colorado AG @pweiser ? Cuz he's a #dem &amp; they don't care?€?","Douglas County, Colorado, USA",02-Dec-2021
@oi2496 @STFXU @jeneps Actually I do have Google. And when I used it I came up with this. More people have died fro?€? https://t.co/GIJ9PXVcVb,USA,02-Dec-2021
If the Covid-19 vaccine works AND NY hospitals are now 100% vaccinated since they fired all unvaccinated employees?€? https://t.co/GQkkh8bnxL,"New York, USA",02-Dec-2021
"RT @AKNewsNow: The federal government could be heading for temporary shutdown, with Republicans poised to stall a must-pass funding bill in?€?","Washington, USA",02-Dec-2021
"RT @ColArchon: @realstevetrev Thanks for taking my call Steve
Here are the websites I was referring to
https://t.co/uA1BJz1biy
https://t.co?€?","New Jersey, USA",02-Dec-2021
"newsone: As New COVID-19 Variant Emerges, Calls For Global Vaccine Equity Continue

South Africa's low vaccination?€? https://t.co/2rxE8SyMV6",USA,02-Dec-2021
"RT @BarackObama: If you got your COVID-19 vaccine before June, now is the time to get a booster shot. All adults are eligible for the boost?€?","Washington, USA",02-Dec-2021
"RT @BarackObama: If you got your COVID-19 vaccine before June, now is the time to get a booster shot. All adults are eligible for the boost?€?","Kentucky, USA",02-Dec-2021
"RT @BarackObama: If you got your COVID-19 vaccine before June, now is the time to get a booster shot. All adults are eligible for the boost?€?","Iowa, USA",02-Dec-2021
Bristol Myers is sued for refusing COVID-19 vaccine religious exemptions | Reuters  ???@ScienceAtBMS??? get ready to pa?€? https://t.co/XpVgFyZS1g,"California, USA",02-Dec-2021
Bristol Myers Sued for Refusing COVID-19 Vaccine Religious Exemptions https://t.co/OC80dJzps8 via @newsmax,"Philadelphia PA, USA",02-Dec-2021
"RT @BarackObama: If you got your COVID-19 vaccine before June, now is the time to get a booster shot. All adults are eligible for the boost?€?",USA????????,02-Dec-2021
RT @LouDobbs: Federal courts me to end overdone Biden  fiats and decrees: A federal judge issued a temporary nationwide block against a Bid?€?,"Florida, USA",02-Dec-2021
"RT @JeffereyJaxen: [1/2] After being sued...the FDA has produced over 91 pages of docs from #Pfizer?€?s COVID-19 vaccine file...It showed: 
-?€?","San Marino, California, USA",02-Dec-2021
"RT @Surgeon_General: Please remember, COVID-19 is not harmless in kids. Too many of our children have been hospitalized, lost their lives,?€?","Arkansas, USA",02-Dec-2021
"RT @Complex: The Christian broadcaster, who devoted hours to anti-vaccine talk, died after contracting the virus at the age of 64. https://?€?","Indiana, USA",02-Dec-2021
RT @abc7newsbayarea: SF Archbishop Salvatore Cordileone reveals he's not vaccinated against COVID-19 https://t.co/9OJpUqo2tA,"Silicon Valley, USA",02-Dec-2021
"Consumer Health Digest #21-47 

*U.S. marketplace for unproven stem-cell interventions has exploded

*AMA opposes v?€? https://t.co/wirNPAgKVB","California, USA",02-Dec-2021
#CNNTownHall I had my Phizer booster in August. How well am I still protected against Covid-19 &amp; will I need a 4th?€? https://t.co/Jn4wMH8FSD,"Massachusetts, USA/Perth, WA",02-Dec-2021
"RT @BarackObama: If you got your COVID-19 vaccine before June, now is the time to get a booster shot. All adults are eligible for the boost?€?","New York, USA",02-Dec-2021
Covid-19 vaccine efficacy in the state of New??York https://t.co/mGcudta8Ie,USA,02-Dec-2021
"@lauraapollo @WajahatAli No idea on what you are trying to say.. don?€?t think you do either..
Pfizer - Dec 11
Modern?€? https://t.co/h7hVtgZl30","New Jersey, USA",02-Dec-2021
"RT @BarackObama: If you got your COVID-19 vaccine before June, now is the time to get a booster shot. All adults are eligible for the boost?€?","South Carolina, USA",02-Dec-2021
"RT @BarackObama: If you got your COVID-19 vaccine before June, now is the time to get a booster shot. All adults are eligible for the boost?€?","Colorado, USA",02-Dec-2021
RT @Tanfox13: Charissa Olivia Klamn: 43-Year-Old Develops Serious Blood Disorders Shortly After Receiving Moderna COVID-19 Vaccine https://?€?,"Ohio, USA",02-Dec-2021
"Anti-mandate DOES NOT equal anti-vaccine. 

#Covid_19
#StoptheMandates","Wisconsin, USA",02-Dec-2021
"RT @marviespallerc: @PmurtTrump More than 90% of federal workers got a COVID-19 vaccine shot by the deadline.

Let's amplify this and not t?€?","Florida, USA",02-Dec-2021
"It appears that this pandemic poses a fundamental challenge to our notion of freedom.
https://t.co/mJwJjnIPZX","Mountain View, CA, USA",02-Dec-2021
RT @HHSGov: Amanda thought she?€?d never see her family again after she spent 11 days intubated in a hospital with COVID-19. Her biggest regr?€?,"Minnesota, USA",02-Dec-2021
"RT @BarackObama: If you got your COVID-19 vaccine before June, now is the time to get a booster shot. All adults are eligible for the boost?€?","North Carolina, USA",02-Dec-2021
"Founder Of Anti-Vaccine Christian TV Network Dies After COVID-19 Fight
https://t.co/bxNpiwfsCR","Oregon, USA",02-Dec-2021
"RT @LeclairBernard: @GovBillLee @AGAPENashville @hopeclinic @ERLC @TNFostersHope Support families by banning vaccines right?
https://t.co/4?€?","Tennessee, USA",02-Dec-2021
"RT @BarackObama: If you got your COVID-19 vaccine before June, now is the time to get a booster shot. All adults are eligible for the boost?€?","Alabama, USA",02-Dec-2021
"RT @nwarikoo: Wayne County GOP canvasser William Hartmann, a COVID and vaccine skeptic who drew national attention for initially refusing t?€?","Arizona, USA",02-Dec-2021
RT @WSJ: Evidence is building that immunity from Covid-19 infection is at least as strong as that from vaccination. Scientists are divided?€?,"Colorado, USA",02-Dec-2021
"RT @JeffereyJaxen: [1/2] After being sued...the FDA has produced over 91 pages of docs from #Pfizer?€?s COVID-19 vaccine file...It showed: 
-?€?","Constitutional Republic, USA",02-Dec-2021
"RT @NotAbouThatBase: Well. I don?€?t know what to say anymore. 

?€?Founder of anti-vaccine Christian TV network dies after COVID-19 fight?€?.  h?€?","Colorado, USA",02-Dec-2021
"RT @BarackObama: If you got your COVID-19 vaccine before June, now is the time to get a booster shot. All adults are eligible for the boost?€?","California, USA",02-Dec-2021
"Combining Ancient and Modern Medicine, Scientists Use Cupping to Deliver COVID-19 Vaccine in Lab Tests | Rutgers Un?€? https://t.co/Lm91tClIaZ","New Jersey, USA",02-Dec-2021
"RT @BarackObama: If you got your COVID-19 vaccine before June, now is the time to get a booster shot. All adults are eligible for the boost?€?",USA,02-Dec-2021
"RT @BarackObama: If you got your COVID-19 vaccine before June, now is the time to get a booster shot. All adults are eligible for the boost?€?",USA,02-Dec-2021
@mvhaydencenter @RepSwalwell @ScharSchool @GenMhayden @DavidPriess @JulieGMD @CDCgov @USUAggies @cai_usu?€? https://t.co/AlgT3ABBPW,"North Carolina, USA",02-Dec-2021
"RT @BarackObama: If you got your COVID-19 vaccine before June, now is the time to get a booster shot. All adults are eligible for the boost?€?",USA,02-Dec-2021
"RT @BarackObama: If you got your COVID-19 vaccine before June, now is the time to get a booster shot. All adults are eligible for the boost?€?","Florida, USA",02-Dec-2021
"RT @JeffereyJaxen: [1/2] After being sued...the FDA has produced over 91 pages of docs from #Pfizer?€?s COVID-19 vaccine file...It showed: 
-?€?","Wisconsin, USA",02-Dec-2021
"RT @BarackObama: If you got your COVID-19 vaccine before June, now is the time to get a booster shot. All adults are eligible for the boost?€?",USA,02-Dec-2021
"Marcus Lamb, head of televangelist network that spreads COVID misinformation, dies of COVID-19 https://t.co/u0ddhUpTgT via @CBSNews","Florida, USA",02-Dec-2021
"RT @BarackObama: If you got your COVID-19 vaccine before June, now is the time to get a booster shot. All adults are eligible for the boost?€?",Cleveland Ohio USA ,02-Dec-2021
"RT @BarackObama: If you got your COVID-19 vaccine before June, now is the time to get a booster shot. All adults are eligible for the boost?€?","Northern Lower Michigan, USA",02-Dec-2021
RT @NBCNews: Anti-vaccine Christian broadcaster Marcus Lamb dies at age 64 after contracting Covid-19. https://t.co/FcwsghBKkR,"North Carolina, USA",02-Dec-2021
RT @HHSGov: Amanda thought she?€?d never see her family again after she spent 11 days intubated in a hospital with COVID-19. Her biggest regr?€?,"District of Columbia, USA",02-Dec-2021
"RT @BarackObama: If you got your COVID-19 vaccine before June, now is the time to get a booster shot. All adults are eligible for the boost?€?","Miami, FL USA",02-Dec-2021
"https://t.co/IYZm1BXWoZ

Marcus Lamb, a co-founder and the CEO of the conservative Christian Daystar Television Net?€? https://t.co/mkwOSxPdbr",New Hampshire  USA,02-Dec-2021
"RT @BarackObama: If you got your COVID-19 vaccine before June, now is the time to get a booster shot. All adults are eligible for the boost?€?","New Jersey, USA",02-Dec-2021
"RT @BarackObama: If you got your COVID-19 vaccine before June, now is the time to get a booster shot. All adults are eligible for the boost?€?","Florida, USA",02-Dec-2021
"https://t.co/IaqildCXU5

Marcus Lamb, a co-founder and the CEO of the conservative Christian Daystar Television Net?€? https://t.co/MHgCITCTpq","Washington, USA",02-Dec-2021
"RT @BarackObama: If you got your COVID-19 vaccine before June, now is the time to get a booster shot. All adults are eligible for the boost?€?","New Jersey, USA",02-Dec-2021
"@ikir_tweet @alinaplayspiano REALITY CHECK:
https://t.co/StlcA3Lrz2","New York, USA",02-Dec-2021
"My sons ages 5-11 received their 2nd COVID-19 vaccine dose today! ????????
???@TXChildrensPR??? ???@TexasChildrens??? ????€? https://t.co/L2wWbpeMjF","Texas, USA",02-Dec-2021
"RT @BarackObama: If you got your COVID-19 vaccine before June, now is the time to get a booster shot. All adults are eligible for the boost?€?","Michigan, USA",02-Dec-2021
"RT @BarackObama: If you got your COVID-19 vaccine before June, now is the time to get a booster shot. All adults are eligible for the boost?€?","Florida, USA",02-Dec-2021
"RT @BarackObama: If you got your COVID-19 vaccine before June, now is the time to get a booster shot. All adults are eligible for the boost?€?","California, USA",02-Dec-2021
"RT @jbarab: OSHA's vax-or-test standard would prevent 1000s of hospitalizations &amp; deaths, according to a brief signed by more than 100 lead?€?","Georgia, USA",02-Dec-2021
"@Suzy_1776 Vaccines &amp; years from virus to Vaccine for human use:
Yellow fever 35 Yrs For Human Use= YFHU below:
Pol?€? https://t.co/SNST3tzGxG",USA,02-Dec-2021
RT @realTuckFrumper: Founder Of Anti-Vaccine Christian TV Network Dies After COVID-19 Fight https://t.co/4dvcSglbR8,Maryland USA,02-Dec-2021
"RT @BarackObama: If you got your COVID-19 vaccine before June, now is the time to get a booster shot. All adults are eligible for the boost?€?","Washington State, USA",02-Dec-2021
"RT @jbarab: OSHA's vax-or-test standard would prevent 1000s of hospitalizations &amp; deaths, according to a brief signed by more than 100 lead?€?","Delaware, USA",02-Dec-2021
RT @MayorJenny: Over 56% of kids 5-11 in Seattle have received their first vaccine dose! Let?€?s keep it up to protect our children and our c?€?,???????? ???? A Blue USA! ????????????,02-Dec-2021
The government of Botswana's Covid-19 Task Force earlier stated that the first 4 known transmitters of the Omicron?€? https://t.co/fEuXBoIGDx,Canada | USA | Africa | Europe,02-Dec-2021
"RT @BarackObama: If you got your COVID-19 vaccine before June, now is the time to get a booster shot. All adults are eligible for the boost?€?","Texas, USA",02-Dec-2021
"RT @BarackObama: If you got your COVID-19 vaccine before June, now is the time to get a booster shot. All adults are eligible for the boost?€?","Wisconsin, USA",02-Dec-2021
"RT @JeffereyJaxen: [1/2] After being sued...the FDA has produced over 91 pages of docs from #Pfizer?€?s COVID-19 vaccine file...It showed: 
-?€?","Texas, USA",02-Dec-2021
"RT @JimWilVoteBlue: https://t.co/PrXK9K0jD9

Marcus Lamb, a co-founder and the CEO of the conservative Christian Daystar Television Network?€?","Florida, USA",02-Dec-2021
"RT @BarackObama: If you got your COVID-19 vaccine before June, now is the time to get a booster shot. All adults are eligible for the boost?€?","Detroit, Michigan, USA",02-Dec-2021
"Not to be cold, but wonder if he was an Ivermectin kind of guy? If so, it sure didn't save him...?€? https://t.co/dI4GqltVC3","Texas, USA",02-Dec-2021
Charissa Olivia Klamn: 43-Year-Old Develops Serious Blood Disorders Shortly After Receiving Moderna COVID-19 Vaccine https://t.co/5NkuGTbGbD,"Democrat-Run Shithole, USA",02-Dec-2021
RT @DrHirschfield: My dear physician colleague suddenly passed away after her booster covid-19 vaccine 1 month ago.,"Texas, USA",02-Dec-2021
RT @Gizmodo: Anti-Vaccine Televangelist Marcus Lamb Dies of Covid-19 at 64 https://t.co/tcnOmOt3Py https://t.co/rY25iCYOIy,"California, USA",02-Dec-2021
"He fucked around and found out https://t.co/aY934q3Ag5

Marcus Lamb, a co-founder and the CEO of the conservative C?€? https://t.co/c1xnbYMf1P","Maryland, USA/DMV",02-Dec-2021
"Moderna vs Pfizer Among  3M veterans:
Recipients of the BNT162b2 vaccine had a 27% higher risk of documented SARS-C?€? https://t.co/TcUPSDbtCn","WV, USA ???????? ",02-Dec-2021
"The deranged founder of one of the largest ""christian"" TV networks in the world has died of COVID-19, after promoti?€? https://t.co/U2StehGLBE","Florida, USA",02-Dec-2021
Fact Check-Tweet purportedly sent from immunologist warning of deaths due to COVID-19 vaccine is fake and was tweet?€? https://t.co/zJyBFeShh5,"XZYZZX, Podunk USA",02-Dec-2021
Chicago drops case on COVID-19 vaccine mandate against police??union https://t.co/qAlRUcvLm1,USA,02-Dec-2021
"RT @Smooch10046744: 26-YEAR-OLD MAN DIED 12 DAYS AFTER RECEIVING THE PFlzer C0VlD VAXZZINE, THE??NZ HERALD ??REPORTS 

Rory James Nairn had h?€?","Virginia, USA",02-Dec-2021
RT @KraveFitness_: Covid -19 vaccine mandate is suspended as of now for all health care workers ! Know your rights,"Ohio, USA",02-Dec-2021
"RT @BarackObama: If you got your COVID-19 vaccine before June, now is the time to get a booster shot. All adults are eligible for the boost?€?","Ohio, USA",02-Dec-2021
RT @thedailybeast: The founder of one of the largest Christian TV networks in the world has died of COVID-19 after promoting anti-vaccine s?€?,"District of Columbia, USA",02-Dec-2021
"RT @BarackObama: If you got your COVID-19 vaccine before June, now is the time to get a booster shot. All adults are eligible for the boost?€?","Washington, USA",02-Dec-2021
"RT @JeffereyJaxen: [1/2] After being sued...the FDA has produced over 91 pages of docs from #Pfizer?€?s COVID-19 vaccine file...It showed: 
-?€?","Michigan, USA",02-Dec-2021
"RT @BarackObama: If you got your COVID-19 vaccine before June, now is the time to get a booster shot. All adults are eligible for the boost?€?",Texas/USA,02-Dec-2021
"RT @gaynorforgov: I've asked Governor Ducey to issue an executive order to immediately stop the City of Phoenix's vaccine mandate, and call?€?",USA,02-Dec-2021
Virus spike vs vaccine spike - COVID-19 mRNA vaccines update 20 https://t.co/oufRNFYunw,"Arkansas, USA",02-Dec-2021
"RT @BarackObama: If you got your COVID-19 vaccine before June, now is the time to get a booster shot. All adults are eligible for the boost?€?","Georgia, USA",02-Dec-2021
"RT @StephTaitWrites: ""But compared to people who never had COVID-19, those who had **breakthrough** infections had a 53% higher risk of dea?€?","California, USA",02-Dec-2021
"RT @SpiroAgnewGhost: NEW: Marcus Lamb, anti-COVID vaccine Christian broadcaster, dies at 64 from Covid 

Lamb had hosted a series of vaccin?€?","St Louis, MO., USA!",02-Dec-2021
"RT @GovDanMcKee: 94.8% of Rhode Islanders age 18+ have received at least 1 #COVID19 vaccine.

Get vaccinated. Get your booster. ?????? https://?€?","Rhode Island, USA",02-Dec-2021
"RT @BarackObama: If you got your COVID-19 vaccine before June, now is the time to get a booster shot. All adults are eligible for the boost?€?","Ohio, USA",02-Dec-2021
"RT @JuliaDavisNews: Marcus Lamb, who founded one of the largest Christian TV networks in the world, has died of COVID-19 after promoting an?€?","District of Columbia, USA",02-Dec-2021
RT @CDCgov: Health misinformation about #COVID19 vaccines can cause people to make decisions that may harm them and their families. Make su?€?,"Connecticut, USA",02-Dec-2021
"RT @StephTaitWrites: ""But compared to people who never had COVID-19, those who had **breakthrough** infections had a 53% higher risk of dea?€?","Michigan, USA",02-Dec-2021
"RT @CBSMornings: Marcus Lamb, head of televangelist network that spreads COVID misinformation, dies of COVID-19 https://t.co/pKCWby7gX3","West Chester, PA USA",02-Dec-2021
